code_tokens,query_tokens
"[""def"", ""foreach"", ""batch"", ""("", ""self"", "","", ""func"", "")"", "":"", ""from"", ""pyspark"", ""."", ""java"", ""gateway"", ""import"", ""ensure"", ""callback"", ""server"", ""started"", ""gw"", ""="", ""self"", ""."", ""spark"", ""."", ""sc"", ""."", ""gateway"", ""java"", ""import"", ""("", ""gw"", ""."", ""jvm"", "","", ""<"", ""str"", "">"", "")"", ""wrapped"", ""func"", ""="", ""foreach"", ""batch"", ""function"", ""("", ""self"", ""."", ""spark"", "","", ""func"", "")"", ""gw"", ""."", ""jvm"", ""."", ""python"", ""foreach"", ""batch"", ""helper"", ""."", ""call"", ""foreach"", ""batch"", ""("", ""self"", ""."", ""jwrite"", "","", ""wrapped"", ""func"", "")"", ""ensure"", ""callback"", ""server"", ""started"", ""("", ""gw"", "")"", ""return"", ""self""]","[""sets"", ""the"", ""output"", ""of"", ""the"", ""streaming"", ""query"", ""to"", ""be"", ""processed"", ""using"", ""the"", ""provided"", ""function"", ""this"", ""is"", ""supported"", ""only"", ""the"", ""in"", ""the"", ""micro"", ""batch"", ""execution"", ""modes"", ""that"", ""is"", ""when"", ""the"", ""trigger"", ""is"", ""not"", ""continuous"", ""in"", ""every"", ""micro"", ""batch"", ""the"", ""provided"", ""function"", ""will"", ""be"", ""called"", ""in"", ""every"", ""micro"", ""batch"", ""with"", ""i"", ""the"", ""output"", ""rows"", ""as"", ""a"", ""data"", ""frame"", ""and"", ""ii"", ""the"", ""batch"", ""identifier"", ""the"", ""batch"", ""id"", ""can"", ""be"", ""used"", ""deduplicate"", ""and"", ""transactionally"", ""write"", ""the"", ""output"", ""that"", ""is"", ""the"", ""provided"", ""dataset"", ""to"", ""external"", ""systems"", ""the"", ""output"", ""data"", ""frame"", ""is"", ""guaranteed"", ""to"", ""exactly"", ""same"", ""for"", ""the"", ""same"", ""batch"", ""id"", ""assuming"", ""all"", ""operations"", ""are"", ""deterministic"", ""in"", ""the"", ""query"", ""note"", ""evolving"", ""def"", ""func"", ""batch"", ""df"", ""batch"", ""id"", ""batch"", ""df"", ""collect"", ""writer"", ""sdf"", ""write"", ""stream"", ""foreach"", ""func""]"
"[""def"", ""organize"", ""variants"", ""("", ""samples"", "","", ""batch"", ""id"", "")"", "":"", ""caller"", ""names"", ""="", ""["", ""x"", ""["", ""<"", ""str"", "">"", ""]"", ""for"", ""x"", ""in"", ""samples"", ""["", ""<"", ""num"", "">"", ""]"", ""["", ""<"", ""str"", "">"", ""]"", ""]"", ""calls"", ""="", ""collections"", ""."", ""defaultdict"", ""("", ""list"", "")"", ""for"", ""data"", ""in"", ""samples"", "":"", ""for"", ""vrn"", ""in"", ""data"", ""["", ""<"", ""str"", "">"", ""]"", "":"", ""calls"", ""["", ""vrn"", ""["", ""<"", ""str"", "">"", ""]"", ""]"", ""."", ""append"", ""("", ""vrn"", ""["", ""<"", ""str"", "">"", ""]"", "")"", ""data"", ""="", ""samples"", ""["", ""<"", ""num"", "">"", ""]"", ""vrn"", ""files"", ""="", ""["", ""]"", ""for"", ""caller"", ""in"", ""caller"", ""names"", "":"", ""fnames"", ""="", ""calls"", ""["", ""caller"", ""]"", ""if"", ""len"", ""("", ""fnames"", "")"", ""="", ""="", ""<"", ""num"", "">"", "":"", ""vrn"", ""files"", ""."", ""append"", ""("", ""fnames"", ""["", ""<"", ""num"", "">"", ""]"", "")"", ""else"", "":"", ""vrn"", ""files"", ""."", ""append"", ""("", ""population"", ""."", ""get"", ""multisample"", ""vcf"", ""("", ""fnames"", "","", ""batch"", ""id"", "","", ""caller"", "","", ""data"", "")"", "")"", ""return"", ""caller"", ""names"", "","", ""vrn"", ""files""]","[""retrieve"", ""variant"", ""calls"", ""for"", ""all"", ""samples"", ""merging"", ""batched"", ""samples"", ""into"", ""single"", ""vcf""]"
"[""def"", ""resolve"", ""aliases"", ""("", ""data"", ""type"", "")"", "":"", ""if"", ""not"", ""is"", ""alias"", ""("", ""data"", ""type"", "")"", "":"", ""return"", ""data"", ""type"", ""resolved"", ""="", ""resolve"", ""aliases"", ""("", ""data"", ""type"", ""."", ""data"", ""type"", "")"", ""data"", ""type"", ""."", ""data"", ""type"", ""="", ""resolved"", ""return"", ""resolved""]","[""resolve"", ""all"", ""chained"", ""nested"", ""aliases"", ""this"", ""will"", ""recursively"", ""point"", ""nested"", ""aliases"", ""to"", ""their"", ""resolved"", ""data"", ""type"", ""first"", ""non"", ""alias"", ""in"", ""the"", ""chain"", ""note"", ""this"", ""differs"", ""from"", ""unwrap"", ""alias"", ""which"", ""simply"", ""identifies"", ""returns"", ""the"", ""resolved"", ""data"", ""type"", ""args"", ""data"", ""type"", ""data"", ""type"", ""the"", ""target"", ""data"", ""type"", ""alias"", ""to"", ""resolve"", ""return"", ""data"", ""type"", ""the"", ""resolved"", ""type""]"
"[""def"", ""do"", ""where"", ""("", ""self"", "","", ""taskid"", "":"", ""int"", "")"", ""-"", "">"", ""none"", "":"", ""task"", ""="", ""task"", ""by"", ""id"", ""("", ""taskid"", "","", ""self"", ""."", ""loop"", "")"", ""if"", ""task"", "":"", ""self"", ""."", ""sout"", ""."", ""write"", ""("", ""format"", ""stack"", ""("", ""task"", "")"", "")"", ""self"", ""."", ""sout"", ""."", ""write"", ""("", "")"", ""else"", "":"", ""self"", ""."", ""sout"", ""."", ""write"", ""("", ""%"", ""taskid"", "")""]","[""show"", ""stack"", ""frames"", ""for"", ""a"", ""task""]"
"[""def"", ""check"", ""import"", ""("", "")"", "":"", ""try"", "":"", ""import"", ""aeneas"", ""print"", ""success"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""return"", ""false"", ""except"", ""import"", ""error"", "":"", ""print"", ""error"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""print"", ""info"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""except"", ""exception"", ""as"", ""e"", "":"", ""print"", ""error"", ""("", ""e"", "")"", ""return"", ""true""]","[""try"", ""to"", ""import"", ""the"", ""aeneas"", ""package"", ""and"", ""return"", ""str"", ""true"", ""str"", ""if"", ""that"", ""fails""]"
"[""def"", ""make"", ""systemrestoreitem"", ""originalfilename"", ""("", ""original"", ""filename"", "","", ""condition"", ""="", "","", ""negate"", ""="", ""false"", "","", ""preserve"", ""case"", ""="", ""false"", "")"", "":"", ""document"", ""="", ""search"", ""="", ""content"", ""type"", ""="", ""content"", ""="", ""original"", ""filename"", ""ii"", ""node"", ""="", ""ioc"", ""api"", ""."", ""make"", ""indicatoritem"", ""node"", ""("", ""condition"", "","", ""document"", "","", ""search"", "","", ""content"", ""type"", "","", ""content"", "","", ""negate"", ""="", ""negate"", "","", ""preserve"", ""case"", ""="", ""preserve"", ""case"", "")"", ""return"", ""ii"", ""node""]","[""create"", ""a"", ""node"", ""for"", ""system"", ""restore"", ""item"", ""original"", ""file"", ""name"", ""return"", ""a"", ""indicator"", ""item"", ""represented"", ""as"", ""an"", ""element"", ""node""]"
"[""def"", ""oai"", ""bucket"", ""policy"", ""present"", ""("", ""name"", "","", ""bucket"", "","", ""oai"", "","", ""policy"", "","", ""region"", ""="", ""none"", "","", ""key"", ""="", ""none"", "","", ""keyid"", ""="", ""none"", "","", ""profile"", ""="", ""none"", "")"", "":"", ""ret"", ""="", ""{"", "":"", ""name"", "","", "":"", ""true"", "","", "":"", "","", "":"", ""{"", ""}"", ""}"", ""oais"", ""="", ""salt"", ""["", ""]"", ""("", ""comment"", ""="", ""oai"", "","", ""region"", ""="", ""region"", "","", ""key"", ""="", ""key"", "","", ""keyid"", ""="", ""keyid"", "","", ""profile"", ""="", ""profile"", "")"", ""if"", ""len"", ""("", ""oais"", "")"", "">"", ""<"", ""num"", "">"", "":"", ""msg"", ""="", ""."", ""format"", ""("", ""oai"", "")"", ""log"", ""."", ""error"", ""("", ""msg"", "")"", ""ret"", ""["", ""]"", ""="", ""msg"", ""ret"", ""["", ""]"", ""="", ""false"", ""return"", ""ret"", ""if"", ""not"", ""oais"", "":"", ""msg"", ""="", ""."", ""format"", ""("", ""oai"", "")"", ""log"", ""."", ""error"", ""("", ""msg"", "")"", ""ret"", ""["", ""]"", ""="", ""msg"", ""ret"", ""["", ""]"", ""="", ""false"", ""return"", ""ret"", ""canonical"", ""user"", ""="", ""oais"", ""["", ""<"", ""num"", "">"", ""]"", ""."", ""get"", ""("", "")"", ""oai"", ""id"", ""="", ""oais"", ""["", ""<"", ""num"", "">"", ""]"", ""."", ""get"", ""("", "")"", ""if"", ""isinstance"", ""("", ""policy"", "","", ""six"", ""."", ""string"", ""types"", "")"", "":"", ""policy"", ""="", ""json"", ""."", ""loads"", ""("", ""policy"", "")"", ""for"", ""stanza"", ""in"", ""range"", ""("", ""len"", ""("", ""policy"", ""."", ""get"", ""("", "","", ""["", ""]"", "")"", "")"", "")"", "":"", ""if"", ""not"", ""in"", ""policy"", ""["", ""]"", ""["", ""stanza"", ""]"", "":"", ""policy"", ""["", ""]"", ""["", ""stanza"", ""]"", ""["", ""]"", ""="", ""{"", ""<"", ""str"", "">"", "":"", ""canonical"", ""user"", ""}"", ""bucket"", ""="", ""salt"", ""["", ""]"", ""("", ""bucket"", ""="", ""bucket"", "","", ""region"", ""="", ""region"", "","", ""key"", ""="", ""key"", "","", ""keyid"", ""="", ""keyid"", "","", ""profile"", ""="", ""profile"", "")"", ""if"", ""not"", ""bucket"", ""or"", ""not"", ""in"", ""bucket"", "":"", ""msg"", ""="", ""."", ""format"", ""("", ""bucket"", "")"", ""log"", ""."", ""error"", ""("", ""msg"", "")"", ""ret"", ""["", ""]"", ""="", ""msg"", ""ret"", ""["", ""]"", ""="", ""false"", ""return"", ""ret"", ""curr"", ""policy"", ""="", ""bucket"", ""["", ""]"", ""."", ""get"", ""("", "","", ""{"", ""}"", "")"", ""."", ""get"", ""("", "","", ""{"", ""}"", "")"", ""return"", ""ret""]","[""ensure"", ""the"", ""given"", ""policy"", ""exists"", ""on"", ""an"", ""s"", ""3"", ""bucket"", ""granting"", ""access"", ""for"", ""the"", ""given"", ""origin"", ""access"", ""identity"", ""to"", ""do"", ""the"", ""things"", ""specified"", ""in"", ""the"", ""policy"", ""name"", ""the"", ""name"", ""of"", ""the"", ""state"", ""definition"", ""bucket"", ""the"", ""s"", ""3"", ""bucket"", ""which"", ""cloud"", ""front"", ""needs"", ""access"", ""to"", ""note"", ""that"", ""this"", ""policy"", ""is"", ""exclusive"", ""it"", ""will"", ""be"", ""the"", ""only"", ""policy"", ""definition"", ""on"", ""the"", ""bucket"", ""and"", ""objects"", ""inside"", ""the"", ""bucket"", ""if"", ""you"", ""specify"", ""such"", ""permissions"", ""in"", ""the"", ""policy"", ""note"", ""that"", ""this"", ""likely"", ""should"", ""reflect"", ""the"", ""bucket"", ""mentioned"", ""in"", ""the"", ""resource"", ""section"", ""of"", ""the"", ""policy"", ""but"", ""this"", ""is"", ""not"", ""enforced"", ""oai"", ""the"", ""value"", ""of"", ""str"", ""passed"", ""to"", ""the"", ""state"", ""definition"", ""for"", ""the"", ""origin"", ""access"", ""identity"", ""which"", ""will"", ""be"", ""accessing"", ""the"", ""bucket"", ""policy"", ""the"", ""full"", ""policy"", ""document"", ""which"", ""should"", ""be"", ""set"", ""on"", ""the"", ""s"", ""3"", ""bucket"", ""if"", ""a"", ""str"", ""principal"", ""str"", ""clause"", ""is"", ""not"", ""provided"", ""in"", ""the"", ""policy"", ""one"", ""will"", ""be"", ""automatically"", ""added"", ""and"", ""pointed"", ""at"", ""the"", ""correct"", ""value"", ""as"", ""dereferenced"", ""from"", ""the"", ""oai"", ""provided"", ""above"", ""if"", ""one"", ""is"", ""provided"", ""then"", ""this"", ""is"", ""not"", ""done"", ""and"", ""you"", ""are"", ""responsible"", ""for"", ""providing"", ""the"", ""correct"", ""values"", ""region"", ""string"", ""region"", ""to"", ""connect"", ""to"", ""key"", ""string"", ""secret"", ""key"", ""to"", ""use"", ""keyid"", ""string"", ""access"", ""key"", ""to"", ""use"", ""profile"", ""dict"", ""or"", ""string"", ""dict"", ""or"", ""pillar"", ""key"", ""pointing"", ""to"", ""a"", ""dict"", ""containing"", ""aws"", ""region"", ""key"", ""keyid"", ""example"", ""code"", ""block"", ""yaml"", ""my"", ""oai"", ""s"", ""3"", ""policy"", ""boto"", ""cloudfront"", ""oai"", ""bucket"", ""policy"", ""present"", ""bucket"", ""the"", ""bucket"", ""for"", ""my"", ""distribution"", ""oai"", ""the"", ""oai"", ""i"", ""just"", ""created"", ""and"", ""attached"", ""to"", ""my"", ""distribution"", ""policy"", ""version"", ""num"", ""num"", ""num"", ""statement"", ""effect"", ""allow"", ""action"", ""s"", ""3"", ""get"", ""object"", ""resource"", ""arn"", ""aws"", ""s"", ""3"", ""the"", ""bucket"", ""for"", ""my"", ""distribution""]"
"[""def"", ""set"", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""("", ""self"", "","", ""v"", "","", ""load"", ""="", ""false"", "")"", "":"", ""if"", ""hasattr"", ""("", ""v"", "","", ""<"", ""str"", "">"", "")"", "":"", ""v"", ""="", ""v"", ""."", ""utype"", ""("", ""v"", "")"", ""try"", "":"", ""t"", ""="", ""yang"", ""dyn"", ""class"", ""("", ""v"", "","", ""base"", ""="", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""."", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", "","", ""is"", ""container"", ""="", "","", ""presence"", ""="", ""false"", "","", ""yang"", ""name"", ""="", ""<"", ""str"", "">"", "","", ""rest"", ""name"", ""="", ""<"", ""str"", "">"", "","", ""parent"", ""="", ""self"", "","", ""path"", ""helper"", ""="", ""self"", ""."", ""path"", ""helper"", "","", ""extmethods"", ""="", ""self"", ""."", ""extmethods"", "","", ""register"", ""paths"", ""="", ""true"", "","", ""extensions"", ""="", ""{"", ""u"", "":"", ""{"", ""u"", "":"", ""u"", "","", ""u"", "":"", ""none"", "","", ""u"", "":"", ""u"", ""}"", ""}"", "","", ""namespace"", ""="", "","", ""defining"", ""module"", ""="", "","", ""yang"", ""type"", ""="", "","", ""is"", ""config"", ""="", ""true"", "")"", ""except"", ""("", ""type"", ""error"", "","", ""value"", ""error"", "")"", "":"", ""raise"", ""value"", ""error"", ""("", ""{"", "":"", "","", "":"", ""<"", ""str"", "">"", "","", "":"", "","", ""}"", "")"", ""self"", ""."", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""="", ""t"", ""if"", ""hasattr"", ""("", ""self"", "","", "")"", "":"", ""self"", ""."", ""set"", ""("", "")""]","[""setter"", ""method"", ""for"", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""mapped"", ""from"", ""yang"", ""variable"", ""interface"", ""fortygigabitethernet"", ""ipv"", ""6"", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""container"", ""if"", ""this"", ""variable"", ""is"", ""read"", ""only"", ""config"", ""false"", ""in"", ""the"", ""source"", ""yang"", ""file"", ""then"", ""set"", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""is"", ""considered"", ""as"", ""a"", ""private"", ""method"", ""backends"", ""looking"", ""to"", ""populate"", ""this"", ""variable"", ""should"", ""do"", ""so"", ""via"", ""calling"", ""this"", ""obj"", ""set"", ""ipv"", ""6"", ""phy"", ""intf"", ""cmds"", ""directly""]"
"[""def"", ""log"", ""formatter"", ""("", ""request"", ""="", ""none"", "")"", "":"", ""if"", ""request"", "":"", ""format"", ""str"", ""="", ""("", "")"", ""else"", "":"", ""format"", ""str"", ""="", ""try"", "":"", ""hostname"", ""="", ""socket"", ""."", ""gethostname"", ""("", "")"", ""except"", ""socket"", ""."", ""gaierror"", "":"", ""hostname"", ""="", ""try"", "":"", ""ip"", ""="", ""socket"", ""."", ""gethostbyname"", ""("", ""hostname"", "")"", ""except"", ""socket"", ""."", ""gaierror"", "":"", ""ip"", ""="", ""formatter"", ""="", ""logging"", ""."", ""formatter"", ""("", ""format"", ""str"", ""."", ""format"", ""("", ""ip"", ""="", ""ip"", "","", ""name"", ""="", ""options"", ""."", ""name"", "","", ""env"", ""="", ""options"", ""."", ""env"", "")"", "","", ""datefmt"", ""="", "")"", ""logging"", ""."", ""formatter"", ""."", ""converter"", ""="", ""time"", ""."", ""gmtime"", ""return"", ""formatter""]","[""log"", ""formatter"", ""used"", ""in"", ""our"", ""syslog"", ""param"", ""request"", ""a"", ""request"", ""object"", ""returns"", ""logging"", ""formatter""]"
"[""def"", ""resolve"", ""("", ""self"", "","", "")"", "":"", ""if"", ""self"", ""."", ""default"", ""value"", ""="", ""="", ""dummy"", ""value"", "":"", ""if"", ""self"", ""."", ""name"", ""in"", ""os"", ""."", ""environ"", "":"", ""return"", ""os"", ""."", ""environ"", ""["", ""self"", ""."", ""name"", ""]"", ""else"", "":"", ""raise"", ""vel"", ""exception"", ""("", ""f"", ""<"", ""str"", "">"", "")"", ""else"", "":"", ""return"", ""os"", ""."", ""environ"", ""."", ""get"", ""("", ""self"", ""."", ""name"", "","", ""self"", ""."", ""default"", ""value"", "")""]","[""resolve"", ""given"", ""variable""]"
