code_id,code,code_tokens
1,"def _initialize_bagit(self):  
        
        self.self_check()
        bagit = os.path.join(self.folder, ""bagit.txt"")
        
        
        with open(bagit, ""w"", encoding=ENCODING, newline=) as bag_it_file:
            
            bag_it_file.write(u""BagIt-Version: 0.97\n"")
            bag_it_file.write(u""Tag-File-Character-Encoding: %s\n"" % ENCODING)","[""def"", ""initialize"", ""bagit"", ""("", ""self"", "")"", "":"", ""self"", ""."", ""self"", ""check"", ""("", "")"", ""bagit"", ""="", ""os"", ""."", ""path"", ""."", ""join"", ""("", ""self"", ""."", ""folder"", "","", ""<"", ""str"", "">"", "")"", ""with"", ""open"", ""("", ""bagit"", "","", ""<"", ""str"", "">"", "","", ""encoding"", ""="", ""encoding"", "","", ""newline"", ""="", "")"", ""as"", ""bag"", ""it"", ""file"", "":"", ""bag"", ""it"", ""file"", ""."", ""write"", ""("", ""u"", ""<"", ""str"", "">"", "")"", ""bag"", ""it"", ""file"", ""."", ""write"", ""("", ""u"", ""<"", ""str"", "">"", ""%"", ""encoding"", "")""]"
2,"def _add_common_constrain(token_lst: List[Dict], d: Dict) -> List[Dict]:
        

        result = []
        for a_token in token_lst:
            if not tf_transfer(d[""is_required""]):
                a_token[""OP""] = ""?""
            result.append(a_token)
        return result","[""def"", ""add"", ""common"", ""constrain"", ""("", ""token"", ""lst"", "":"", ""list"", ""["", ""dict"", ""]"", "","", ""d"", "":"", ""dict"", "")"", ""-"", "">"", ""list"", ""["", ""dict"", ""]"", "":"", ""result"", ""="", ""["", ""]"", ""for"", ""a"", ""token"", ""in"", ""token"", ""lst"", "":"", ""if"", ""not"", ""tf"", ""transfer"", ""("", ""d"", ""["", ""<"", ""str"", "">"", ""]"", "")"", "":"", ""a"", ""token"", ""["", ""<"", ""str"", "">"", ""]"", ""="", ""<"", ""str"", "">"", ""result"", ""."", ""append"", ""("", ""a"", ""token"", "")"", ""return"", ""result""]"
3,"def closest_cell_center(self,x,y):
        
        return self.matrixidx2sheet(*self.sheet2matrixidx(x,y))","[""def"", ""closest"", ""cell"", ""center"", ""("", ""self"", "","", ""x"", "","", ""y"", "")"", "":"", ""return"", ""self"", ""."", ""matrixidx"", ""2"", ""sheet"", ""("", ""*"", ""self"", ""."", ""sheet"", ""2"", ""matrixidx"", ""("", ""x"", "","", ""y"", "")"", "")""]"
4,"def init_color_symbols(self):
        
        
        if self.is_prod:
            return
        keys = [
            , , , , ,
            , , , , ,
            , , , , ,
            , , , , ,
        ]

        _symbols = [ for _ in keys]
        
        txt = self.cfg.get(, )
        if txt:
            sym = txt.split()[0].split()
            _symbols = sym + _symbols[len(sym):]

        for i, k in enumerate(keys):
            if k in [, ]:
                self.symbols[k] = R.format(_symbols[i])
            else:
                self.symbols[k] = G.format(_symbols[i])","[""def"", ""init"", ""color"", ""symbols"", ""("", ""self"", "")"", "":"", ""if"", ""self"", ""."", ""is"", ""prod"", "":"", ""return"", ""keys"", ""="", ""["", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", "","", ""]"", ""symbols"", ""="", ""["", ""for"", ""in"", ""keys"", ""]"", ""txt"", ""="", ""self"", ""."", ""cfg"", ""."", ""get"", ""("", "","", "")"", ""if"", ""txt"", "":"", ""sym"", ""="", ""txt"", ""."", ""split"", ""("", "")"", ""["", ""<"", ""num"", "">"", ""]"", ""."", ""split"", ""("", "")"", ""symbols"", ""="", ""sym"", ""+"", ""symbols"", ""["", ""len"", ""("", ""sym"", "")"", "":"", ""]"", ""for"", ""i"", "","", ""k"", ""in"", ""enumerate"", ""("", ""keys"", "")"", "":"", ""if"", ""k"", ""in"", ""["", "","", ""]"", "":"", ""self"", ""."", ""symbols"", ""["", ""k"", ""]"", ""="", ""r"", ""."", ""format"", ""("", ""symbols"", ""["", ""i"", ""]"", "")"", ""else"", "":"", ""self"", ""."", ""symbols"", ""["", ""k"", ""]"", ""="", ""g"", ""."", ""format"", ""("", ""symbols"", ""["", ""i"", ""]"", "")""]"
5,"def sources(source_id=None, **kwargs):
    
    if source_id or  in kwargs:
        return source(source_id, **kwargs)
    return Fred().sources(**kwargs)","[""def"", ""sources"", ""("", ""source"", ""id"", ""="", ""none"", "","", ""*"", ""*"", ""kwargs"", "")"", "":"", ""if"", ""source"", ""id"", ""or"", ""in"", ""kwargs"", "":"", ""return"", ""source"", ""("", ""source"", ""id"", "","", ""*"", ""*"", ""kwargs"", "")"", ""return"", ""fred"", ""("", "")"", ""."", ""sources"", ""("", ""*"", ""*"", ""kwargs"", "")""]"
6,"def retrieveVals(self):
        
        ntpinfo = NTPinfo()
        stats = ntpinfo.getHostOffset(self._remoteHost)
        if stats:
            graph_name =  % self._remoteHost
            if self.hasGraph(graph_name):
                self.setGraphVal(graph_name, , stats.get())
            graph_name =  % self._remoteHost
            if self.hasGraph(graph_name):
                self.setGraphVal(graph_name, , stats.get())
                self.setGraphVal(graph_name, , stats.get())","[""def"", ""retrieve"", ""vals"", ""("", ""self"", "")"", "":"", ""ntpinfo"", ""="", ""nt"", ""pinfo"", ""("", "")"", ""stats"", ""="", ""ntpinfo"", ""."", ""get"", ""host"", ""offset"", ""("", ""self"", ""."", ""remote"", ""host"", "")"", ""if"", ""stats"", "":"", ""graph"", ""name"", ""="", ""%"", ""self"", ""."", ""remote"", ""host"", ""if"", ""self"", ""."", ""has"", ""graph"", ""("", ""graph"", ""name"", "")"", "":"", ""self"", ""."", ""set"", ""graph"", ""val"", ""("", ""graph"", ""name"", "","", "","", ""stats"", ""."", ""get"", ""("", "")"", "")"", ""graph"", ""name"", ""="", ""%"", ""self"", ""."", ""remote"", ""host"", ""if"", ""self"", ""."", ""has"", ""graph"", ""("", ""graph"", ""name"", "")"", "":"", ""self"", ""."", ""set"", ""graph"", ""val"", ""("", ""graph"", ""name"", "","", "","", ""stats"", ""."", ""get"", ""("", "")"", "")"", ""self"", ""."", ""set"", ""graph"", ""val"", ""("", ""graph"", ""name"", "","", "","", ""stats"", ""."", ""get"", ""("", "")"", "")""]"
7,"def connect_route53(aws_access_key_id=None, aws_secret_access_key=None, **kwargs):
    
    from boto.route53 import Route53Connection
    return Route53Connection(aws_access_key_id, aws_secret_access_key, **kwargs)","[""def"", ""connect"", ""route"", ""53"", ""("", ""aws"", ""access"", ""key"", ""id"", ""="", ""none"", "","", ""aws"", ""secret"", ""access"", ""key"", ""="", ""none"", "","", ""*"", ""*"", ""kwargs"", "")"", "":"", ""from"", ""boto"", ""."", ""route"", ""53"", ""import"", ""route"", ""53"", ""connection"", ""return"", ""route"", ""53"", ""connection"", ""("", ""aws"", ""access"", ""key"", ""id"", "","", ""aws"", ""secret"", ""access"", ""key"", "","", ""*"", ""*"", ""kwargs"", "")""]"
8,"def _browse(cls, env, ids, from_record=None, iterated=None):
        
        records = cls()
        records._env_local = env
        records._ids = _normalize_ids(ids)
        if iterated:
            records._values = iterated._values
            records._values_to_write = iterated._values_to_write
        else:
            records._from_record = from_record
            records._values = {}
            records._values_to_write = {}
            for field in cls._columns:
                records._values[field] = {}
                records._values_to_write[field] = {}
            records._init_values()
        return records","[""def"", ""browse"", ""("", ""cls"", "","", ""env"", "","", ""ids"", "","", ""from"", ""record"", ""="", ""none"", "","", ""iterated"", ""="", ""none"", "")"", "":"", ""records"", ""="", ""cls"", ""("", "")"", ""records"", ""."", ""env"", ""local"", ""="", ""env"", ""records"", ""."", ""ids"", ""="", ""normalize"", ""ids"", ""("", ""ids"", "")"", ""if"", ""iterated"", "":"", ""records"", ""."", ""values"", ""="", ""iterated"", ""."", ""values"", ""records"", ""."", ""values"", ""to"", ""write"", ""="", ""iterated"", ""."", ""values"", ""to"", ""write"", ""else"", "":"", ""records"", ""."", ""from"", ""record"", ""="", ""from"", ""record"", ""records"", ""."", ""values"", ""="", ""{"", ""}"", ""records"", ""."", ""values"", ""to"", ""write"", ""="", ""{"", ""}"", ""for"", ""field"", ""in"", ""cls"", ""."", ""columns"", "":"", ""records"", ""."", ""values"", ""["", ""field"", ""]"", ""="", ""{"", ""}"", ""records"", ""."", ""values"", ""to"", ""write"", ""["", ""field"", ""]"", ""="", ""{"", ""}"", ""records"", ""."", ""init"", ""values"", ""("", "")"", ""return"", ""records""]"
9,"def run(url, output, config):
    
    parsed_url = urlparse.urlparse(url)
    db_module_path = SUPPORTED_DATABASE_MODULES.get(parsed_url.scheme)
    if not db_module_path:
        raise ValueError(""Unsupported database scheme: "" % (parsed_url.scheme,))
    db_module = importlib.import_module(db_module_path)
    session.reset()
    for line in db_module.sanitize(url=parsed_url, config=config):
        output.write(line + ""\n"")","[""def"", ""run"", ""("", ""url"", "","", ""output"", "","", ""config"", "")"", "":"", ""parsed"", ""url"", ""="", ""urlparse"", ""."", ""urlparse"", ""("", ""url"", "")"", ""db"", ""module"", ""path"", ""="", ""supported"", ""database"", ""modules"", ""."", ""get"", ""("", ""parsed"", ""url"", ""."", ""scheme"", "")"", ""if"", ""not"", ""db"", ""module"", ""path"", "":"", ""raise"", ""value"", ""error"", ""("", ""<"", ""str"", "">"", ""%"", ""("", ""parsed"", ""url"", ""."", ""scheme"", "","", "")"", "")"", ""db"", ""module"", ""="", ""importlib"", ""."", ""import"", ""module"", ""("", ""db"", ""module"", ""path"", "")"", ""session"", ""."", ""reset"", ""("", "")"", ""for"", ""line"", ""in"", ""db"", ""module"", ""."", ""sanitize"", ""("", ""url"", ""="", ""parsed"", ""url"", "","", ""config"", ""="", ""config"", "")"", "":"", ""output"", ""."", ""write"", ""("", ""line"", ""+"", ""<"", ""str"", "">"", "")""]"
10,"def kill_process(modeladmin, request, queryset):
    
    for process in queryset:
        process.stop(signum=signal.SIGKILL)","[""def"", ""kill"", ""process"", ""("", ""modeladmin"", "","", ""request"", "","", ""queryset"", "")"", "":"", ""for"", ""process"", ""in"", ""queryset"", "":"", ""process"", ""."", ""stop"", ""("", ""signum"", ""="", ""signal"", ""."", ""sigkill"", "")""]"
